,class_subclass,sic
767,526317100,8.0
768,514029000,9.0
769,514029000,14.0
770,710015000,27.0
771,375260000,43.0
772,315219000,43.0
773,340932200,43.0
774,385122000,20.0
775,424155100,14.0
776,166295000,15.0
777,219121640,43.0
778,131094000,29.0
779,369100000,43.0
780,436174000,55.0
781,367118000,43.0
782,433060000,55.0
783,709217000,27.0
785,216059000,43.0
786,514001000,9.0
787,514001000,14.0
788,117091000,29.0
789,117091000,43.0
790,210639000,30.0
791,210639000,31.0
792,297404000,56.0
793,102524000,53.0
794,707003000,27.0
795,315111210,43.0
796,123058800,23.0
797,123058800,46.0
798,123058800,54.0
799,128200220,55.0
800,455300000,42.0
801,436526000,14.0
802,436526000,55.0
803,290054000,23.0
804,290054000,36.0
805,310309000,36.0
806,166205000,25.0
807,514418000,9.0
808,514418000,14.0
809,424520000,14.0
810,257686000,43.0
811,709223000,27.0
812,436010000,55.0
813,493068000,29.0
814,285082000,21.0
815,455435200,43.0
816,514449000,9.0
817,514449000,14.0
818,514256000,9.0
819,514256000,14.0
820,439157000,43.0
821,424244100,14.0
823,435368000,14.0
824,210512100,30.0
825,210512100,31.0
826,514384000,9.0
827,514384000,14.0
828,369275400,42.0
829,222394000,24.0
830,222394000,25.0
831,222394000,30.0
832,222394000,31.0
833,101218000,29.0
834,152539000,16.0
835,424192100,14.0
837,800008000,14.0
838,800008000,56.0
839,514013000,9.0
840,514013000,14.0
841,152309000,16.0
842,422188000,29.0
843,252600000,55.0
844,235384000,27.0
845,424199100,14.0
846,375346000,43.0
847,435226000,14.0
848,424145100,14.0
849,426383000,1.0
850,435183000,7.0
853,370463000,43.0
854,401078000,56.0
855,706013000,27.0
856,607096000,55.0
857,148225000,19.0
858,514143000,9.0
859,514143000,14.0
860,700245000,30.0
861,606069000,55.0
862,385095000,20.0
863,123376000,23.0
864,123376000,46.0
865,123376000,54.0
866,381396000,43.0
868,219130210,36.0
869,713182000,27.0
871,455567000,43.0
872,264045300,16.0
873,435069700,14.0
874,705020000,27.0
875,175022000,25.0
876,524437000,12.0
877,524437000,16.0
878,370335000,43.0
879,607055000,40.0
880,607055000,55.0
881,423625000,6.0
882,264001240,17.0
883,264001240,55.0
884,359811000,55.0
885,800288000,56.0
886,424061000,11.0
887,370241100,43.0
888,335008000,35.0
889,335008000,36.0
890,335008000,43.0
891,709203000,27.0
892,210660000,30.0
893,210660000,31.0
894,204157150,7.0
895,375240200,43.0
896,385125000,20.0
897,210299000,30.0
898,210299000,31.0
899,435004000,14.0
900,435004000,55.0
901,562401000,7.0
902,514406000,9.0
903,514406000,14.0
904,455041200,42.0
905,455041200,43.0
906,701001000,46.0
907,701001000,55.0
908,425131100,29.0
909,280033991,21.0
910,280033991,52.0
911,435023000,14.0
912,435023000,55.0
913,359233000,55.0
914,348294000,42.0
915,348294000,43.0
916,356010000,55.0
917,435060000,14.0
918,715242000,27.0
919,548214000,7.0
920,441080000,16.0
921,441080000,55.0
922,441080000,56.0
923,701200000,55.0
924,324632000,35.0
925,380200000,43.0
926,705019000,27.0
927,209017000,25.0
928,209017000,29.0
929,209017000,30.0
930,514369000,9.0
931,514369000,14.0
932,514724000,9.0
933,514724000,14.0
934,239533200,24.0
935,239533200,25.0
936,239533200,30.0
937,239533200,31.0
938,385049000,43.0
939,424464000,9.0
940,424464000,14.0
941,348335000,42.0
942,348335000,43.0
943,430001000,55.0
944,156441000,29.0
945,526160000,8.0
946,604192000,55.0
947,318568120,36.0
948,318568120,55.0
949,438464000,43.0
950,568451000,7.0
953,359381000,55.0
954,205397000,20.0
955,239170000,24.0
956,239170000,25.0
957,239170000,30.0
958,239170000,31.0
960,436006000,55.0
961,600504000,55.0
962,455003010,42.0
963,455003010,43.0
964,705400000,27.0
965,455012100,42.0
966,455012100,43.0
967,343756000,43.0
968,3437000MS,43.0
969,424190100,14.0
970,415119000,23.0
971,415119000,30.0
973,800013000,14.0
974,800013000,56.0
977,546280400,7.0
978,33110800B,35.0
979,33110800B,43.0
982,340539120,43.0
983,800014000,14.0
984,800014000,56.0
985,514120000,9.0
986,514120000,14.0
987,514233200,9.0
988,514233200,14.0
989,514386000,9.0
990,514386000,14.0
991,713193000,27.0
992,514235200,9.0
993,514235200,14.0
995,600322000,55.0
996,455412000,43.0
997,600586000,55.0
998,362318000,39.0
999,429304000,13.0
1000,216058000,43.0
1001,540222000,7.0
1002,426107000,1.0
1003,600532000,55.0
1004,248200000,21.0
1005,401130000,56.0
1006,436178000,55.0
1007,398135000,43.0
1008,536007400,14.0
1009,434154000,56.0
1010,106482000,6.0
1011,435189000,7.0
1012,1231690EC,40.0
1013,424146100,14.0
1014,340907000,43.0
1015,424750000,14.0
1016,514026000,9.0
1017,514026000,14.0
1018,514008000,9.0
1019,514008000,14.0
1020,375257000,43.0
1021,100002000,30.0
1022,702022000,55.0
1023,188072800,24.0
1024,188072800,32.0
1025,188072800,46.0
1026,188072800,50.0
1027,188072800,51.0
1028,188072800,52.0
1029,188072800,54.0
1030,708200000,27.0
1031,156199000,16.0
1032,156199000,17.0
1033,156199000,21.0
1034,525431000,8.0
1035,525431000,16.0
